UID;Titel;"Autor Vorname";"Autor Nachname";"SS Indiziert";"zusätzl. Infos";Listen-Seitennummer;"Edition 1: Verlag";"Edition 1: Ort";"Edition 1: Jahr";"Edition 2: Verlag";"Edition 2: Ort";"Edition 2: Jahr"
book-d31b4b8b-4cc9-4829-84f0-ec64869eca2b-de_DE-1;"Die Weissagungen des Nostradamus";Carl;Loog;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;Baum;Pfullingen;1940;;;
book-bd038fc8-c949-4b3a-8803-17044ef5ff4f-de_DE-1;"Bündischer Sozialismus";Erich;Lohner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;"Verl. d. AZ-Presse";Aarau;1940;;;
book-e8ccf62b-396e-4699-b312-8e6b4fb901fe-de_DE-1;"Von Hegel bis Nietzsche";Karl;Loewith;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;Europa;"Zürich, New York";1941;;;
book-40186deb-b436-4925-8520-ab14566fcb93-de_DE-1;"sämtliche Schriften";"Hubertus Maria Friedrich Graf v.";Loewenstein-Scharfeneck;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;;;;;;
book-20126c54-0184-4279-b4e7-7b580e7a61d4-de_DE-1;"So grün war mein Tal. Roman";Richard;Llewellyn;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;Humanitas;Zürich;1941;;;
book-c0944ade-7b46-4b6d-927c-d89816619614-de_DE-1;"sämtliche Schriften";Ernst;Lissauer;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;;;;;;
book-dc744a53-1af8-4c09-bcbc-c36979e1f928-de_DE-1;"sämtliche Schriften";Siegfried;Lipschuetz;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;;;;;;
book-aff0201b-9710-4862-9d8d-150462e69f80-de_DE-1;"sämtliche Schriften";Franz;Lipp;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 87.
";11;;;;;;
book-df999f69-7e1b-40cd-b14d-4cc655c81148-de_DE-1;"Pariser Tagebuch 1940";Paul;Lingemann;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;"Dr. Wagener";Meschede;1941;;;
book-9cfd3e31-eeb1-4745-8652-19f04d58b026-de_DE-1;"Friedrich Schillers kurze Biographie";E.;Lindner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;"Staatsverl. f. Lehrbücher";Moskau;1940;;;
book-2750af4b-845d-4f42-b99b-7ce1cdb5b5b9-de_DE-1;ohne-titel;;"Lindi [Pseud.] s. Lindegger, Albert Werner.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;;;;;;
book-70202c42-d41b-43a5-968a-bc56eae3ccb1-de_DE-1;"Lindis papa. 200 lustige bilder.";;"Lindi [d. i. Lindegger, Albert Werner]";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;Oprecht;"Zürich, New York";1941;;;
book-cfe94f9d-d1b1-48dc-bfc5-f79a8de8cfb0-de_DE-1;"Schlaglichter der Endzeit";Samuel;Limbach;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;Majer;Basel;1941;;;
book-d4e69d67-5376-4f64-854a-38f88cc6fce6-de_DE-1;"sämtliche Schriften";Leopold;Lichtwitz;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums«. S. 9.";11;;;;;;
book-fb2b798c-54df-4a3c-9c8a-25fa3ac84e8b-de_DE-1;"sämtliche Schriften";"Mechthild (Fürstin)";Lichnowski;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";11;;;;;;
book-3e27c5b5-ea63-42b9-b5ba-5a86ec60bf1c-de_DE-1;"sämtliche Schriften";Samuel;Lewin;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttum« S. 84.";10;;;;;;
book-7bb90bf1-a7b5-4553-b50b-e25770ed85bc-de_DE-1;"Deutsches Lesebuch für Hochschulen";;;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;"Radjanśka škola";Kiiv;1940;;;
book-df6a90b1-adbb-4eca-a8ea-ca4ace2dafb8-de_DE-1;"Der Dämon. übertr. v. Erich Weinert.";"Michail Jurévič";"Lermontow [Lermontov]";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;"Meshdunarodnaja kniga = Kleine Bibliothek";Moskau;1940;;;
book-aea412d3-c77e-4e1a-83f9-8b7ac2e3f02b-de_DE-1;"sämtliche Schriften";Rudolf;Leonhard;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 84.";10;;;;;;
book-b23a097a-8691-4f96-94f9-967eb8f9dc19-de_DE-1;"Menschen auf der Flucht";M.;Lejeune-Jehle;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;Genossenschaftsdr.;Zürich;1940;;;
book-40b36b3c-3c7d-4ef5-b975-60aa6d7d5ef2-de_DE-1;"sämtliche Schriften";Gustav;Lehnert;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-d55788ef-e3f1-4f89-a6f4-b3bb83da1adc-de_DE-1;"s. Christus siegt";;"Lehmkuhl, Arnfried [Hrsg.]";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-b491aa72-0cad-46d5-af6b-2cfd55a851ba-de_DE-1;"sämtliche Schriften";"August Heinrich";Lauriolle;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-634830ac-d423-49c0-bee0-6e7af739b4fe-de_DE-1;"Nervenkraft durch Gottes Geist";Alfred;Laub;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;"Herder & Co.";"Freiburg i. Br.";1935;;;
book-73e9c939-c1e4-430b-b2d1-1a873e4a4b9e-de_DE-1;"sämtliche Schriften";Otto;Laß;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-95c23482-0c9a-472f-aa5f-09d935c62baa-de_DE-1;"sämtliche Schriften";Georg;Langstein;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-0b7678bc-9932-47ee-b593-6739e3e2bca5-de_DE-1;ohne-titel;;"Langenburg, Max Karl Prinz zu Hohenlohe- s. Hohenlohe-Langenburg";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-314459aa-83a3-4617-bf31-7d61961259f2-de_DE-1;"Der Ausweg";Ernst;Lange;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;"Schwert u. Schild";Diesdorf;1936;;;
book-c62b87d4-96a8-412b-997e-68066ee74769-de_DE-1;"sämtliche Schriften";Fritz;Landshoff;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-f6401734-cf92-45cc-8edd-b869fd515dc7-de_DE-1;"sämtliche Schriften";"Paul Ludwig";Landsberg;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 81.";10;;;;;;
book-146b5ddc-b923-438d-af11-5f0880fb07e8-de_DE-1;"sämtliche Schriften";Heinrich;Laemmlin;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-b663cf5b-79d9-4c2f-b4f8-628d252c198e-de_DE-1;"sämtliche Schriften";Fritz;Lachmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-3c9e044b-dcea-4a97-9068-3ee65de40bf7-de_DE-1;ohne-titel;;"Kuerenberg, Joachim von [Pseud.] s. Reichel, Joachim von.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-2025fb79-f570-42b9-92ec-b322163dd315-de_DE-1;"Lasset uns nach Bethlehem gehen! = Vom Reichtum christlicher Wirklichkeit. Bd 1.";Leonhard;Kueppers;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;"Ges. für Buchdr. u. Verlag";Düsseldorf;1940;;;
book-62f23c82-c11f-48d9-ad34-559449776a04-de_DE-1;"sämtliche Schriften";"Paul Christian";Kuender;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-1c9d21d6-26a8-4f6c-ba0e-f3209e9d99e4-de_DE-1;"sämtliche Schriften";Willibert;Kuehler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-41f245a8-0aa9-440a-8b0c-744936a8e1a5-de_DE-1;"Wir gehen zum Vater.";Joseph;Kuckhoff;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;Laumann;Dülmen;1940;;;
book-498c16f8-5bbc-4e3e-a38b-23a913dbc45a-de_DE-1;"sämtliche Schriften";Otto;Krille;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 77.";10;;;;;;
book-e247696a-fbed-4cf3-9b69-acc83ce65b03-de_DE-1;"sämtliche Schriften";Ernst;Krenek;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-a3ce2a65-50fc-4edf-8e51-0196b7161e0a-de_DE-1;"sämtliche Schriften";Hermann;Krelaus;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-d9ad2ac0-cd79-45ca-9fdf-00f9d19e2784-de_DE-1;"sämtliche Schriften";Walter;Kreiser;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-ecf3618f-7a3c-475c-b992-038a8642719e-de_DE-1;"sämtliche Schriften";Meta;Kraus-Fessel;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 77.";10;;;;;;
book-7e1d1956-6bee-4c95-9154-cb66fe3bc2a8-de_DE-1;"sämtliche Schriften";Heinz;Kraschutzki;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-7fc89b8e-5763-42e4-ad0c-39c76a0dcc7f-de_DE-1;"Lebenserinnerungen einer alten Frau. 1. 2.";Josepha;Kraigher-Porges;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;Grethlein;Leipzig;1926-27;;;
book-177dc3c9-d984-43af-939a-550bc755f11a-de_DE-1;"sämtliche Schriften";Paul;Kowalski;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";10;;;;;;
book-b28f9a91-f36a-4935-9141-a7b2075ca8f1-de_DE-1;"sämtliche Schriften";Otto;Koll;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-c561fb47-29a6-4ad3-bb26-048357a4653b-de_DE-1;"sämtliche Schriften";Walter;Kolbenhoff;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-bfeba833-428f-42d6-bf88-8db3795f1703-de_DE-1;"sämtliche Schriften";Oskar;Kokoschka;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Drei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 75.";9;;;;;;
book-b22a8274-f038-4002-9605-f80f00e6bda4-de_DE-1;"sämtliche Schriften";Arthur;Koestler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Drei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 74 u. 75.";9;;;;;;
book-be5f86ba-1d82-4691-af97-1c95302869bc-de_DE-1;"sämtliche Schriften";Heinrich;Koenig;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-f437f4d8-698a-47c1-b350-7d7dbfa20baa-de_DE-1;"sämtliche Schriften";Wilhelm;Koenen;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-54dba254-4143-4be9-bab1-c6e12df4c4fd-de_DE-1;"Christenstand und Alltag ";Adolf;Koeberle;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;"Stiftungsverl. = Schriftenreihe d. Dt. Evang. Männerwerkes. 7.";Potsdam;1936;;;
book-6aa13628-2f72-41da-b4f7-e1656d25dc97-de_DE-1;"sämtliche Schriften";Franz;Kobler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 73.";9;;;;;;
book-2768575d-709d-4784-8c83-77075e927a9d-de_DE-1;"sämtliche Schriften";Friedrich;Kniestedt;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-f8183440-7f00-4331-88b3-ce1e52074364-de_DE-1;"sämtliche Schriften";Hanns;Knieling;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-7f530363-0bab-4653-b8bb-fde871ec2fcd-de_DE-1;"sämtliche Schriften";"Otto Michael";Knab;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums«. S.73.";9;;;;;;
book-bd91d9f3-62fc-4f37-8c39-6eb498569b04-de_DE-1;"Der Einfall in die Niederlande";"Eelco Nicolaas van";Kleffens;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Europa;"Zürich, New York";1941;;;
book-4cceff15-e94c-4d5f-9765-dde4fee830d0-de_DE-1;"sämtliche Schriften";Robert;Klausmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-27f4953b-975d-4ad5-85d8-3fb6e3f9d337-de_DE-1;"sämtliche Schriften";Emil;Kirschmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-98199c02-a2f8-4c34-801c-519b7756544f-de_DE-1;ohne-titel;;"Kirchner, Hanna s. Schmidt, Hanna, gesch. Kirchner.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-cde3b279-6028-4b50-8817-4faac669e71c-de_DE-1;"sämtliche Schriften";"Hans Karl";Kippenberger;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-a954e584-1e0d-4d35-a778-106d0ebfcdb7-de_DE-1;"sämtliche Schriften";Peter;Kilian;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 71.";9;;;;;;
book-9b07f073-9253-488f-beea-309a4060c0c1-de_DE-1;"sämtliche Schriften";Ernst;Kiesewetter;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-a188406b-b9cc-493a-877b-3368148a0b08-de_DE-1;"Männer im Sturm";Armin;Keutner;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Laumann;Dülmen;1940;;;
book-dd560d46-5617-4af1-a2bf-0153f6ed5725-de_DE-1;"sämtliche Schriften";Hermann;Kesser;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Vier Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttum« S.71, eine fünfte in »Jahresliste 1939« S. 8.
";9;;;;;;
book-0c80a869-0b63-475c-b550-f0cff1c6544d-de_DE-1;"sämtliche Schriften";Irma;Kessel;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-a1df6e97-f5e4-4430-a3fc-cb6074becc2a-de_DE-1;"Graubünden in der Malerei";Walter;Kern;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Oprecht;"Zürich, New York";1941;;;
book-fdf26280-c1e5-43fa-be05-42d2ccae573b-de_DE-1;"sämtliche Schriften";Anna;"Kazmierczak, geb. Ritter";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-596ba6d6-1466-48fe-9d5f-dec24cc13c48-de_DE-1;"sämtliche Schriften";"Francisco Hilario";Kaufmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-3cbee236-a499-427d-ab73-09e9c68df44a-de_DE-1;"sämtliche Schriften";Marta;Karlweis;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-cd716421-d599-465f-b3b4-d925386a1098-de_DE-1;"Briefe an eine Mutter";Ernst;Kappeler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Oprecht;Zürich;1941;;;
book-5ccfac96-7814-490d-baff-6219eeae828f-de_DE-1;"Sarah Aaronson, eine jüdische Heldin";"Israel Zwi";Kanner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Schumacher;Diekirch;1939;;;
book-c679ded0-8e94-4012-9e21-431781d9d167-de_DE-1;"Was hat die Sowjetmacht den Werktätigen gebracht?";"Michail Ivanovič";Kalinin;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;"Verl. für fremdsprachliche Literatur";Moskau;1940;;;
book-175453c6-6e2d-4670-88e2-3cda1a0035fb-de_DE-1;"sämtliche Schriften";Kurt;Kaiser-Blüth;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;;;;;;
book-00555384-71ac-4493-abc4-07fc5ef22261-de_DE-1;"Der Soldat Tanaka. Schauspiel.";Georg;Kaiser;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Oprecht;"Zürich, New York";1940;;;
book-6161847a-fb1e-47de-bce4-0377155379f4-de_DE-1;"Rosamunde Floris. Schauspiel.";Georg;Kaiser;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";9;Oprecht;"Zürich, New York";1940;;;
book-dd83af7f-d9a0-4e65-8b87-cc91ba1c78ff-de_DE-1;"Alain und Elise. Schausp.";Georg;Kaiser;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;Oprecht;"Zürich, New York";1940;;;
book-558bb30a-a35b-4df7-98ca-3109bb64680e-de_DE-1;"sämtliche Schriften";Fritz;Kahn;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Drei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 68.
";8;;;;;;
book-e761b04f-8645-4741-8dee-9b2dff41e389-de_DE-1;"sämtliche Schriften";Erich;Kahler;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereite in »Liste des schädlichen und unerwünschten Schritttums« S. 67 u. 68.";8;;;;;;
book-a80bfd55-1b02-473b-9894-ce5f95a64e67-de_DE-1;"Gut essen trotz knapper Zeit";Martha;Kaegi-Schalch;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;Oprecht;Zürich;1941;;;
book-beb5f0b2-2e72-4bef-b5f3-a7b5e1e25bbc-de_DE-1;"sämtliche Schriften";Jack;Iwo;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-6e2b4e05-7a0c-43c1-9256-4a52427eaa9f-de_DE-1;"sämtliche Schriften";Ludwig;Jung;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-008a22db-1f98-4879-9e01-461fe3b90548-de_DE-1;"sämtliche Schriften";Ernst;Iros;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-837211cc-0504-4639-b4b3-a9af6978e596-de_DE-1;" — Das kleine Psalmenbuch. Für Männerstimmen ges.";"Theodor E.";Johner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Zwingli-Verl. = Zwingli-Bücherei. 11.";Zürich;1940;;;
book-eebb610b-ccd4-43fc-8415-6c4ac8edc085-de_DE-1;"Station 3";Ernst;Johannsen;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Volksverb. d. Bücherfreunde, Wegweiser-Verl.  = Auswahlreihe d. Volksverb. d. Bücherfreunde.";Berlin;1931;;;
book-c639321b-1002-475c-bf36-6b29c10b2cf2-de_DE-1;"sämtliche Schriften";Paul;Immendorf;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-a73409b3-1b35-4d59-9d7b-8ea49389e7b9-de_DE-1;"sämtliche Schriften";Hugo;Iltis;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 65.";8;;;;;;
book-292d51bc-6ab6-4918-8fd8-a447e40589fd-de_DE-1;ohne-titel;;"Jehle, M. Lejeune s. Lejeune-Jehle.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-4723ee07-dc69-4561-87c7-52bfbd49e79f-de_DE-1;"Wie werde ich in der Ehe glücklich?";Nikolaus;Jansen;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Butzon & Bercker";"Kevelaer (Rhld.)";1927;;;
book-555e97f3-ca05-457a-acde-8a9258ff27f9-de_DE-1;"Vom Jungmann zum Ehemann";Nikolaus;Jansen;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Butzon & Bercker";"Kevelaer (Rhld.)";1927;;;
book-466f97c8-400d-429d-9db6-18ce769f83c5-de_DE-1;"sämtliche Schriften";Adam;Jaeger;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-08891abc-c691-4209-a9af-933f6ae7107d-de_DE-1;"Übersetzer u. schöne Lit.: sämtliche Schriften";"Ludwig Harter";"Jacobson (Pseud.: Niels Hoyer und Ernst Harthern)";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift unter Hoyer bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 62.";8;;;;;;
book-94089ff4-d44f-46a1-a783-5fc0d99b5dd2-de_DE-1;"sämtliche Schriften";Paula;"Jacobsen, geb. Sünken";1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-e8174bfb-5c06-4afc-bd59-f0ab6573041e-de_DE-1;"sämtliche Schriften";Walter;Jacob;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-92fb45dc-016c-4bb6-aaa1-b08909f93c01-de_DE-1;"Unser Glaube";Aldous;Huxley;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Bermann-Fischer = Schriftenreihe »Ausblicke«";Stockholm;"1939 ";;;
book-e8693943-988b-42a3-b816-8c3e9da3eed6-de_DE-1;"sämtliche Schriften";Manuel;Humbert;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 62.";8;;;;;;
book-ae627066-f4aa-4729-9088-37e4c94aa98f-de_DE-1;"Die Ehre des Scout";Albert;Hublet;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Deutscher Verl. f. Jugend u. Volk";"Wien, Leipzig";1938;;;
book-e62e096f-ff48-4173-9ab4-7df8ec656a2e-de_DE-1;"Zürischaggi. Bekenntnisse aus Jugend- und Wanderjahren";Jakob;Huber;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Zwingli-Verl. = Zwingli-Bücherei. 10.";Zürich;1940;;;
book-bea70d7d-a7fd-4778-9954-a79688b7d650-de_DE-1;ohne-titel;;"Hoyer, Niels [Pseud.] s. Jacobson, Ludwig Harter.";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;;;;;;
book-577f1896-1a67-44e1-839c-258d9244e725-de_DE-1;"sämtliche Schriften";"Ödön von";Horvath;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schritttums« S. 61.";8;;;;;;
book-c1c8d503-8c46-441e-b74a-5841f0f57108-de_DE-1;"Deutsche Heilpflanzen";Eugen;Hornung;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;"Schauenburg = Des Lahrer hinkenden Boten Hausbücherei";Lahr;1939;;;
book-ab4d5956-868f-4d91-9a3c-0a100fedab6c-de_DE-1;"Ein Priester erzählt aus seinem und seiner Mitbrüder Leben";Valentin;Horn;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";8;Kettelerhaus;Köln;1940;;;
book-583d0ac0-053b-4019-9f86-76e8f594b265-de_DE-1;"sämtliche Schriften";Lothar;Holland;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-0c20d4e8-eda4-49d0-b331-be4f41b9f6a9-de_DE-1;"sämtliche Schriften";"Max Karl Prinz zu";Hohenlohe-Langenburg;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-0ed4e3e5-8d81-45ad-a60a-ea24cc51b30c-de_DE-1;"Deutsches Lesebuch";"Hugo von";Hofmannsthal;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;"Forum = Forum-Bücher";Amsterdam;1939;;;
book-0404d7a3-e9e4-4af2-ab99-46f2debc1e61-de_DE-1;"sämtliche Schriften";"Max Moritz";Hofmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-3cf856c0-7e13-4ebd-ae33-0fb2396b7bbe-de_DE-1;"Lord Clive. Roman. - Sämtliche Ausgaben";Wolfgang;Hoffmann-Harnisch;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-2ac45272-fd97-4f56-a0a8-694d0241704f-de_DE-1;"sämtliche Schriften";Charlotte;Hoffmann;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-3b6cfcc4-91b0-4791-8977-68aef990c01c-de_DE-1;"Minna Bachem-Sieger und die deutsche Frauenbewegung";Karl;Hoeber;;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;Bachem;Köln;1940;;;
book-b8c97836-0550-4a9a-9efd-1b3ad5d5971b-de_DE-1;"s. Glaubensgespraech, Das, der Kirchen.";Leonard;"Hodgson [Bearb.]";;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-e6a7908f-e4f5-47f7-beea-87a444184df8-de_DE-1;"sämtliche Schriften";"Hans, Dr.";Hirschfeld;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“";7;;;;;;
book-aa0c0c88-ed28-4f14-8ac5-2a1601341e1a-de_DE-1;"sämtliche Schriften";Klaus;Hinrichs;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 59.
";7;;;;;;
book-66f6fdea-ba70-45dc-a3a1-3e8bc4759904-de_DE-1;"sämtliche Schriften";Hermann;Hiltbrunner;1;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“
Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 59. eine zweite in »Jahresliste 1940« S. 10.
";7;;;;;;
